iter	Passed	Remaining
170	375	1822
171	376	1814
172	377	1806
173	378	1798
174	380	1794
175	382	1790
176	383	1784
177	384	1777
178	385	1769
179	386	1762
180	387	1755
181	389	1750
182	390	1744
183	391	1737
184	392	1730
185	393	1723
186	395	1718
187	396	1712
188	397	1707
189	399	1701
190	400	1695
191	401	1688
192	402	1682
193	403	1675
194	404	1669
195	405	1662
196	406	1655
197	407	1649
198	408	1642
199	409	1636
200	410	1632
201	412	1628
202	413	1624
203	414	1618
204	415	1612
205	416	1606
206	417	1601
207	418	1595
208	419	1589
209	421	1583
210	422	1578
211	423	1572
212	424	1567
213	426	1565
214	427	1561
215	429	1557
216	430	1553
217	431	1547
218	432	1542
219	433	1536
220	434	1531
221	435	1526
222	436	1520
223	437	1516
224	438	1510
225	440	1508
226	442	1506
227	443	1502
228	444	1497
229	445	1492
230	447	1488
231	448	1483
232	449	1478
233	450	1473
234	451	1468
235	452	1463
236	453	1458
237	454	1455
238	456	1452
239	458	1450
240	459	1446
241	460	1441
242	461	1437
243	462	1433
244	463	1428
245	464	1423
246	465	1419
247	466	1414
248	467	1410
249	468	1405
250	470	1402
251	471	1399
252	472	1394
253	473	1390
254	474	1386
255	475	1381
256	476	1377
257	477	1373
258	478	1369
259	479	1365
260	480	1361
261	481	1357
262	483	1353
263	484	1351
264	485	1347
265	487	1343
266	488	1339
267	489	1335
268	490	1331
269	491	1327
270	492	1324
271	493	1320
272	494	1316
273	495	1312
274	496	1308
275	497	1304
276	498	1301
277	500	1300
278	501	1296
279	502	1293
280	503	1289
281	505	1285
282	505	1281
283	506	1278
284	507	1274
285	508	1270
286	509	1266
287	511	1263
288	512	1259
289	513	1256
290	514	1254
291	516	1251
292	517	1248
293	518	1245
294	519	1241
295	520	1238
296	521	1234
297	522	1230
298	523	1227
299	524	1223
300	525	1220
301	526	1217
302	527	1213
303	529	1211
304	530	1208
305	531	1205
306	532	1202
307	533	1199
308	534	1195
309	535	1192
310	536	1189
311	537	1186
312	538	1182
313	539	1179
314	540	1176
315	542	1173
316	543	1171
317	544	1168
318	545	1165
319	546	1162
320	547	1158
321	548	1155
322	549	1152
323	550	1149
324	551	1146
325	553	1143
326	554	1140
327	555	1137
328	556	1134
329	557	1131
330	559	1130
331	560	1127
332	561	1124
333	562	1121
334	563	1118
335	564	1116
336	565	1113
337	566	1110
338	567	1107
339	568	1104
340	569	1101
341	570	1098
342	571	1095
343	573	1093
344	574	1091
345	575	1088
346	576	1085
347	577	1082
348	578	1079
349	579	1076
350	580	1073
351	581	1070
352	582	1067
353	583	1064
354	584	1062
355	585	1059
356	586	1056
357	588	1055
358	589	1052
359	590	1049
360	591	1047
361	592	1044
362	593	1042
363	595	1039
364	596	1037
365	597	1034
366	598	1031
367	599	1029
368	600	1026
369	601	1023
370	602	1021
371	603	1019
372	604	1016
373	605	1014
374	606	1011
375	607	1008
376	608	1006
377	609	1003
378	610	1001
379	612	998
380	612	995
381	614	993
382	615	990
383	615	988
384	616	985
385	618	984
386	619	982
387	621	979
388	622	977
389	623	974
390	624	972
391	625	969
392	626	967
393	627	964
394	628	962
395	629	959
396	630	957
397	631	955
398	632	953
399	633	950
400	634	948
401	635	945
402	636	943
403	638	941
404	639	938
405	640	936
406	641	934
407	642	931
408	643	929
409	644	926
410	645	924
411	646	922
412	647	920
413	648	918
414	649	915
415	650	913
416	651	911
417	652	908
418	653	906
419	654	904
420	655	902
421	656	899
422	657	897
423	659	895
424	660	893
425	661	891
426	662	889
427	663	886
428	664	884
429	665	882
430	666	880
431	667	877
432	668	875
433	669	873
434	670	871
435	671	868
436	672	866
437	673	864
438	674	862
439	675	860
440	677	858
441	678	856
442	679	853
443	680	851
444	681	849
445	682	847
446	683	845
447	684	843
448	685	840
449	686	838
450	687	836
451	688	834
452	689	832
453	690	830
454	692	828
455	693	826
456	694	824
457	695	822
458	696	820
459	697	818
460	698	816
461	699	814
462	700	812
463	701	810
464	702	808
465	703	806
466	704	804
467	705	802
468	706	800
469	708	798
470	709	796
471	710	794
472	711	792
473	712	790
474	713	788
475	714	786
476	715	784
477	716	781
478	717	780
479	718	778
480	719	775
481	720	774
482	721	772
483	722	770
484	723	768
485	724	766
486	725	764
487	727	762
488	728	760
489	729	758
490	730	756
491	731	754
492	732	752
493	733	751
494	734	749
495	735	747
496	737	745
497	738	744
498	739	742
499	740	740
500	741	738
501	742	736
502	743	734
503	744	732
504	745	730
505	746	728
506	747	726
507	748	724
508	749	723
509	750	721
510	751	719
511	752	717
512	754	715
513	755	714
514	756	712
515	757	710
516	758	708
517	759	706
518	760	704
519	761	703
520	762	701
521	763	699
522	764	697
523	766	695
524	767	694
525	768	692
526	769	690
527	770	688
528	771	686
529	772	684
530	773	682
531	774	681
532	775	679
533	776	677
534	777	675
535	778	673
536	779	672
537	781	670
538	781	668
539	782	666
540	784	665
541	785	663
542	786	661
543	787	659
544	788	658
545	789	656
546	790	654
547	791	652
548	792	650
549	793	649
550	794	647
551	796	646
552	797	644
553	798	642
554	799	640
555	800	638
556	801	637
557	802	635
558	803	633
559	804	631
560	805	630
561	806	628
562	807	626
563	808	625
564	809	623
565	810	621
566	811	620
567	812	618
568	814	616
569	815	614
570	816	613
571	817	611
572	818	609
573	819	608
574	820	606
575	821	604
576	822	602
577	823	601
578	825	599
579	825	598
580	826	596
581	827	594
582	828	592
583	830	591
584	831	589
585	831	587
586	832	585
587	833	584
588	834	582
589	835	580
590	835	578
591	836	576
592	838	575
593	839	573
594	840	572
595	841	570
596	842	568
597	843	566
598	844	565
599	845	563
600	846	561
601	847	560
602	848	558
603	849	556
604	850	555
605	851	553
606	852	551
607	853	550
608	854	548
609	856	547
610	857	545
611	858	544
612	859	542
613	860	541
614	861	539
615	863	537
616	864	536
617	865	534
618	866	533
619	867	531
620	868	530
621	869	528
622	870	526
623	871	525
624	872	523
625	873	522
626	874	520
627	875	518
628	876	517
629	877	515
630	878	513
631	879	512
632	880	510
633	881	509
634	883	507
635	884	506
636	885	504
637	886	503
638	887	501
639	888	499
640	889	498
641	890	496
642	891	495
643	892	493
644	893	492
645	894	490
646	895	488
647	896	487
648	897	485
649	899	484
650	900	482
651	901	481
652	902	479
653	903	478
654	904	476
655	905	474
656	906	473
657	907	471
658	908	470
659	909	468
660	910	467
661	911	465
662	912	463
663	914	462
664	915	461
665	916	459
666	917	457
667	918	456
668	919	454
669	920	453
670	921	451
671	922	450
672	923	448
673	924	447
674	925	445
675	926	444
676	927	442
677	928	441
678	929	439
679	930	438
680	931	436
681	932	435
682	933	433
683	935	431
684	936	430
685	936	428
686	937	427
687	938	425
688	939	424
689	941	422
690	942	421
691	943	419
692	944	418
693	945	416
694	946	415
695	947	414
696	948	412
697	949	410
698	950	409
699	952	408
700	953	406
701	954	405
702	955	403
703	956	402
704	957	400
705	958	399
706	959	397
707	960	396
708	961	394
709	963	393
710	964	391
711	965	390
712	966	389
713	967	387
714	968	386
715	969	384
716	970	383
717	971	381
718	973	380
719	974	378
720	975	377
721	976	375
722	977	374
723	978	373
724	979	371
725	980	370
726	981	368
727	982	367
728	983	365
729	984	364
730	985	362
731	986	361
732	988	359
733	989	358
734	990	357
735	991	355
736	992	354
737	993	352
738	994	351
739	995	349
740	996	348
741	998	347
742	999	345
743	1000	344
744	1001	342
745	1002	341
746	1004	340
747	1005	338
748	1006	337
749	1007	335
750	1008	334
751	1009	332
752	1010	331
753	1011	330
754	1012	328
755	1013	327
756	1014	325
757	1015	324
758	1016	322
759	1018	321
760	1019	320
761	1020	318
762	1021	317
763	1022	315
764	1023	314
765	1024	312
766	1025	311
767	1026	310
768	1027	308
769	1028	307
770	1029	305
771	1030	304
772	1031	302
773	1033	301
774	1034	300
775	1035	298
776	1036	297
777	1037	296
778	1039	294
779	1040	293
780	1042	292
781	1043	290
782	1044	289
783	1045	288
784	1046	286
785	1048	285
786	1051	284
787	1052	283
788	1053	281
789	1055	280
790	1056	279
791	1057	277
792	1058	276
793	1059	274
794	1060	273
795	1061	271
796	1061	270
797	1064	269
798	1065	268
799	1066	266
800	1067	265
801	1069	263
802	1070	262
803	1071	261
804	1072	259
805	1073	258
806	1074	257
807	1075	255
808	1076	254
809	1078	253
810	1080	251
811	1082	250
812	1083	249
813	1084	247
814	1085	246
815	1086	245
816	1087	243
817	1088	242
818	1089	240
819	1090	239
820	1091	238
821	1094	236
822	1095	235
823	1097	234
824	1098	232
825	1099	231
826	1100	230
827	1101	228
828	1102	227
829	1103	226
830	1104	224
831	1106	223
832	1107	222
833	1111	221
834	1113	219
835	1114	218
836	1115	217
837	1116	215
838	1118	214
839	1118	213
840	1119	211
841	1121	210
842	1122	208
843	1123	207
844	1125	206
845	1126	205
846	1127	203
847	1128	202
848	1129	200
849	1130	199
850	1131	198
851	1132	196
852	1133	195
853	1134	194
854	1136	192
855	1137	191
856	1139	190
857	1141	188
858	1142	187
859	1143	186
860	1144	184
861	1145	183
862	1146	182
863	1147	180
864	1148	179
865	1149	177
866	1150	176
867	1151	175
868	1153	173
869	1154	172
870	1156	171
871	1157	169
872	1158	168
873	1159	167
874	1160	165
875	1161	164
876	1162	163
877	1163	161
878	1164	160
879	1165	158
880	1166	157
881	1167	156
882	1169	154
883	1170	153
884	1171	152
885	1173	150
886	1174	149
887	1175	148
888	1176	146
889	1177	145
890	1178	144
891	1179	142
892	1180	141
893	1182	140
894	1184	138
895	1185	137
896	1186	136
897	1187	134
898	1188	133
899	1189	132
900	1190	130
901	1191	129
902	1192	128
903	1193	126
904	1194	125
905	1196	124
906	1197	122
907	1199	121
908	1200	120
909	1201	118
910	1202	117
911	1203	116
912	1204	114
913	1205	113
914	1206	112
915	1207	110
916	1208	109
917	1210	108
918	1211	106
919	1213	105
920	1214	104
921	1215	102
922	1216	101
923	1217	100
924	1218	98
925	1219	97
926	1221	96
927	1222	94
928	1223	93
929	1224	92
930	1225	90
931	1226	89
932	1228	88
933	1229	86
934	1230	85
935	1231	84
936	1232	82
937	1233	81
938	1234	80
939	1235	78
940	1236	77
941	1237	76
942	1238	74
943	1239	73
944	1241	72
945	1243	70
946	1244	69
947	1245	68
948	1246	66
949	1247	65
950	1248	64
951	1249	63
952	1250	61
953	1251	60
954	1252	59
955	1253	57
956	1254	56
957	1256	55
958	1257	53
959	1258	52
960	1259	51
961	1260	49
962	1261	48
963	1262	47
964	1263	45
965	1264	44
966	1266	43
967	1267	41
968	1268	40
969	1269	39
970	1270	37
971	1271	36
972	1273	35
973	1274	34
974	1275	32
975	1276	31
976	1277	30
977	1278	28
978	1279	27
979	1280	26
980	1281	24
981	1282	23
982	1284	22
983	1285	20
984	1287	19
985	1288	18
986	1289	16
987	1290	15
988	1291	14
989	1292	13
990	1293	11
991	1294	10
992	1295	9
993	1296	7
994	1297	6
995	1298	5
996	1299	3
997	1300	2
998	1302	1
999	1303	0
